username,name,created_at,id,followers_count,favourites_count,friends_count,profile_image_url,url,verified,description,statuses_count,last_tweet,twitter_link
albertinae,Albertína Friðbjörg,2009-04-12 23:46:53,30751827.0,215.0,668.0,914.0,http://pbs.twimg.com/profile_images/1100734833746210819/lwWq2Iep_normal.jpg,https://t.co/TlHX1QNqzY,False,,1314.0,2021-09-15 10:41:00,http://twitter.com/albertinae
andresingi,Andrés Ingi,2010-01-03 17:22:00,101527317.0,4089.0,20401.0,914.0,http://pbs.twimg.com/profile_images/1372934960013795329/DBW1KggS_normal.jpg,https://t.co/qixKbDf60l,False,Þingmaður @PiratarXP í Reykjavík-norður. Member of Parliament at @althingi.,19357.0,2021-09-18 18:55:51,http://twitter.com/andresingi
aslaugarna,Áslaug Arna Sigurbjörnsdóttir,2011-04-22 23:58:59,286420722.0,10837.0,29932.0,914.0,http://pbs.twimg.com/profile_images/1437164130876674054/kA2c9RE8_normal.jpg,https://t.co/TjUGiEZjDd,True,Minister of Justice 🇮🇸,8935.0,2021-09-18 15:46:28,http://twitter.com/aslaugarna
asmundureinar,Ásmundur Einar,2012-08-20 10:04:53,769236254.0,952.0,112.0,914.0,http://pbs.twimg.com/profile_images/1170622568660918272/FNT9pe28_normal.jpg,,True,Félags- og barnamálaráðherra. Minister of social affairs and children in Iceland,986.0,2021-09-18 12:43:35,http://twitter.com/asmundureinar
BjarkeyOlsen,Bjarkey Olsen,2013-03-09 14:42:04,1254542852.0,700.0,5600.0,914.0,http://pbs.twimg.com/profile_images/1432632250399592449/UJ1XYlun_normal.jpg,https://t.co/uHsjBxuMTl,False,Alþingismaður - Member of Parliament,4196.0,2021-09-10 17:00:09,http://twitter.com/BjarkeyOlsen
Bjarni_Ben,Bjarni Benediktsson,2015-10-23 11:37:53,4023814749.0,8420.0,703.0,914.0,http://pbs.twimg.com/profile_images/967502871527903232/heLBwS4O_normal.jpg,https://t.co/eM0AB66TZP,True,Fjármála- og efnahagsráðherra. Formaður Sjálfstæðisflokksins / Minister of Finance and Economic Affairs in Iceland. Chairman of the Independence Party,648.0,2021-09-17 11:03:41,http://twitter.com/Bjarni_Ben
_bjornlevi_,Bjorn Levi,2012-03-07 03:50:24,517182045.0,911.0,594.0,914.0,http://pbs.twimg.com/profile_images/519145143333429248/r_UNK_lp_normal.jpeg,,False,from @thisisiceland,3212.0,2021-09-17 21:29:29,http://twitter.com/_bjornlevi_
bryndisharalds,Bryndís Haralds,2010-01-20 23:30:46,106873767.0,754.0,3200.0,914.0,http://pbs.twimg.com/profile_images/1432842099725160448/S-GZosdZ_normal.jpg,https://t.co/4TuratKiX2,False,"Þingkona, Icelandic MP",986.0,2021-09-18 16:46:10,http://twitter.com/bryndisharalds
GudlaugurThor,Guðlaugur Þór,2009-05-18 13:08:54,40869200.0,7707.0,4826.0,914.0,http://pbs.twimg.com/profile_images/920213584243838977/SuLS7o3h_normal.jpg,https://t.co/oVZ6guetPg,True,Minister for Foreign Affairs and International Development Cooperation of Iceland 🇮🇸 @MFAIceland & @utanrikisthjon,3217.0,2021-09-16 15:14:04,http://twitter.com/GudlaugurThor
GunnarBragiS,Gunnar Bragi,2012-03-01 00:07:54,509456374.0,2518.0,116.0,914.0,http://pbs.twimg.com/profile_images/790496689916375040/bxRi4-to_normal.jpg,https://t.co/gW940GIYp3,False,Member of Parliament- Former Minister of Fisheries and Agriculture 2016-2017 and Minister for Foreign Affairs and External Trade 2013-2016 Snapchat: gbsveinsson,886.0,2021-01-07 00:08:42,http://twitter.com/GunnarBragiS
HallaSigny,Halla Signý Kristjánsdóttir,2020-01-23 15:42:53,1.2203712568281006e+18,134.0,90.0,914.0,http://pbs.twimg.com/profile_images/1413452197019459585/jKdoLqO7_normal.jpg,,False,Þingmaður Framsóknar í Norðvesturkjördæmi.,49.0,2021-04-19 17:40:58,http://twitter.com/HallaSigny
Halldoramog,Halldóra Mogensen,2012-08-19 00:59:16,766660028.0,1107.0,504.0,914.0,http://pbs.twimg.com/profile_images/792875307812478977/yQ6o7rzo_normal.jpg,,False,"Pirate, poet, dreamer. Dreaming a society free of mindless doing. Nurturing the human being. Parliamentarian @PiratePartyIS",2454.0,2021-09-17 21:30:11,http://twitter.com/Halldoramog
HannaKataF,Hanna-Katrín,2015-09-03 22:47:10,3538531283.0,814.0,3523.0,914.0,http://pbs.twimg.com/profile_images/1169345814080184325/ZCWu9892_normal.jpg,,False,Member of Parliament in Iceland for Liberal Reform (Viðreisn).,1040.0,2021-09-16 12:56:38,http://twitter.com/HannaKataF
helgavalan,Helga Vala Helgadóttir 🔴,2012-10-12 23:42:25,876665030.0,1288.0,3153.0,914.0,http://pbs.twimg.com/profile_images/1317059906999095301/qX9vmw1K_normal.jpg,https://t.co/4Cxzx1jH6q,False,Þingmaður Samfylkingar - Member of Parliament for the Social Democratic Alliance,1168.0,2021-09-17 16:04:20,http://twitter.com/helgavalan
helgihg,Helgi,2014-08-11 22:53:54,2740315055.0,18.0,1906.0,914.0,http://pbs.twimg.com/profile_images/1401569307990052864/uPhoE8ZX_normal.jpg,,False,,1.0,2020-12-19 14:23:08,http://twitter.com/helgihg
jon_gunnarsson,Jón Gunnarsson,2016-06-10 14:57:49,7.412832306205204e+17,250.0,48.0,914.0,http://pbs.twimg.com/profile_images/741284652275662848/xsO2cASc_normal.jpg,https://t.co/VUwXWcgBhp,False,,69.0,2020-05-02 22:33:17,http://twitter.com/@jon_gunnarsson
JonSteindor,Jón Steindór,2010-01-26 13:29:41,108604619.0,210.0,20.0,914.0,http://pbs.twimg.com/profile_images/1143011205/jonsteindor2_normal.jpg,,False,,114.0,2021-09-16 12:25:39,http://twitter.com/JonSteindor
katrinjak,Katrín Jakobsdóttir,2016-04-11 15:57:57,7.195550929119314e+17,36643.0,248.0,914.0,http://pbs.twimg.com/profile_images/1328334306977124352/7V_WDM9r_normal.jpg,,True,Forsætisráðherra / Prime Minister of Iceland.            Instagram: katrinjakobsd,398.0,2021-09-11 17:15:05,http://twitter.com/katrinjak
kristjanthorj,Kristján Þór,2013-01-05 20:14:50,1063900742.0,1575.0,152.0,914.0,http://pbs.twimg.com/profile_images/822008638155948032/HOV7sYHZ_normal.jpg,https://t.co/vuA1ZbvtFY,False,Sjávarútvegs- og landbúnaðarráðherra / Minister of Fisheries and Agriculture 🇮🇸,527.0,2020-11-11 22:05:03,http://twitter.com/kristjanthorj
lineikanna,Líneik Anna Sævars,2012-03-24 13:27:22,535428072.0,117.0,51.0,914.0,http://pbs.twimg.com/profile_images/440527612478103552/3rN_KN2l_normal.jpeg,,False,,44.0,2021-09-14 07:22:37,http://twitter.com/lineikanna
logieinarsson,Logi Einarsson,2013-02-02 17:26:26,1142955570.0,1352.0,1062.0,914.0,http://pbs.twimg.com/profile_images/1428780447065153546/sEm8WAne_normal.jpg,https://t.co/H5J50qRBcv,False,"Formaður @Samfylkingin // Arkitekt // Skriðjökull 🏡🌎🌹 Chairman of The Social Democratic Alliance, Iceland",337.0,2021-09-18 17:51:50,http://twitter.com/logieinarsson
OddnyHardar,Oddný Harðardóttir,2014-06-30 18:50:25,2657353852.0,632.0,1452.0,914.0,http://pbs.twimg.com/profile_images/682998986819694592/oqPmaBM7_normal.jpg,,False,Alþingismaður,560.0,2021-09-17 19:59:58,http://twitter.com/OddnyHardar
RosaBjorkB,Rósa Björk B,2013-10-02 20:49:09,1928183623.0,1978.0,14797.0,914.0,http://pbs.twimg.com/profile_images/911296726748815360/yIzDsqB5_normal.jpg,https://t.co/gPCZTyn0lq,False,"3 barna mams. Þingkona @samfylking. Græn, manneskjuvæn stjórnmál. Femínisti. Member of @PACE_News+Vice Chair of @PACE_Migration, utanríkismálanefnd @althingi",2397.0,2021-09-18 11:13:35,http://twitter.com/RosaBjorkB
sigmundurdavid,Sigmundur Davíð,2010-12-27 13:23:20,231054442.0,3564.0,0.0,914.0,http://pbs.twimg.com/profile_images/469463794620440577/_lZIkuIn_normal.png,http://t.co/SK4xjeZqO2,False,Þingmaður Norðausturkjördæmis og fyrrverandi forsætisráðherra,159.0,2018-01-19 19:38:35,http://twitter.com/sigmundurdavid
siggaandersen,Sigríður Á. Andersen,2016-04-06 20:23:07,7.17809882997633e+17,2063.0,2100.0,914.0,http://pbs.twimg.com/profile_images/854005603127238656/1kTnlISm_normal.jpg,https://t.co/ZZniBWGv5n,False,"Alþingismaður / Member of parliament of Iceland, Alþingi, Chairman of Foreign Affairs Committee / Former Minister of Justice",818.0,2021-09-17 07:39:50,http://twitter.com/siggaandersen
silja_dogg,Silja Dögg Gunnarsdóttir,2015-06-14 18:36:27,3325367836.0,299.0,1019.0,914.0,http://pbs.twimg.com/profile_images/1234867204996390914/jyp-6PM0_normal.jpg,,False,"MP of @Althingi, @framsokn, Foreign Affairs & the #NordicCouncil, chair of @NRIsland, historian & MIB International Business.",306.0,2021-05-12 10:32:08,http://twitter.com/silja_dogg
smarimc,Smári McCarthy,2008-12-10 21:50:01,18031814.0,9718.0,15782.0,914.0,http://pbs.twimg.com/profile_images/1404667302814101510/957Qay9v_normal.jpg,https://t.co/RUsguc0v7D,True,"Member of Icelandic Parliament, programmer, pilot, author, solarpunk, futurist. Working on economy & trade. Chair of Future, EFTA & EEA Committees.",30682.0,2021-09-13 13:34:26,http://twitter.com/smarimc
steinunnar,Steinunn Þóra,2015-05-30 15:43:39,3303746463.0,677.0,1809.0,914.0,http://pbs.twimg.com/profile_images/604678165777113088/JwChJzHX_normal.jpg,,False,Þingmaður Vinstrihreyfingarinnar - græns framboðs,524.0,2021-09-03 22:20:20,http://twitter.com/steinunnar
svasva,Svandís Svavarsd,2009-09-16 07:58:05,74680446.0,4203.0,6060.0,914.0,http://pbs.twimg.com/profile_images/1427620825650315264/lBgo06dR_normal.jpg,,True,"heilbrigðisráðherra frá 2017 og þingmaður á @Alþingi fyrir @vinstrigræn frá 2009

Gift Torfa Hjartarsyni, mamma fjögurra barna og amma fimm barna.",3671.0,2021-09-16 19:43:38,http://twitter.com/svasva
VilliArna,Vilhjálmur Árnason,2011-11-28 22:13:18,423755971.0,632.0,354.0,914.0,http://pbs.twimg.com/profile_images/1663205291/261298_10150231302926246_638886245_7773390_7409320_n_normal.jpg,,False,Þingmaður Sjálfstæðisflokks,59.0,2021-09-10 14:53:48,http://twitter.com/VilliArna
WillumThor,Willum Þór Þórsson,2017-10-11 16:59:54,9.181592328301896e+17,1402.0,183.0,914.0,http://pbs.twimg.com/profile_images/1436035400930312200/3dY1Au5T_normal.jpg,,False,Þingflokksformaður Framsóknar og formaður fjárlaganefndar.,116.0,2021-09-18 13:28:55,http://twitter.com/WillumThor
obbasigga,Þorbjörg Gunnlaugs,2015-09-05 15:43:54,3556890556.0,1159.0,6132.0,914.0,http://pbs.twimg.com/profile_images/1434610858546638854/SH2SIZX4_normal.jpg,,False,,907.0,2021-09-18 18:47:39,http://twitter.com/obbasigga
thorgkatrin,þorgerður katrín,2014-01-12 19:39:14,2277506913.0,6361.0,17773.0,914.0,http://pbs.twimg.com/profile_images/872865294603214848/uW-E5y5r_normal.jpg,,False,"Member of Parliament and leader of the Liberal Reform Party. Former minister for Education, Science, Culture and Sport. Fisheries and Agriculture #XC #LIV #FH",1171.0,2021-09-18 08:51:25,http://twitter.com/thorgkatrin
OrarinnI,Þórarinn Ingi,2021-01-27 16:09:51,1.354461416728752e+18,116.0,154.0,914.0,http://pbs.twimg.com/profile_images/1354461884582420488/R_qXicFN_normal.jpg,,False,Bóndi á Grund í Grýtubakkahreppi og þingmaður Framsóknar,31.0,2021-06-25 20:44:04,http://twitter.com/OrarinnI
thordiskolbrun,Þórdís Kolbrún Reykfjörð Gylfadóttir,2013-11-16 13:43:45,2197764102.0,4655.0,2685.0,914.0,http://pbs.twimg.com/profile_images/1431650547686383622/Olgu5L07_normal.jpg,https://t.co/aIrgR5Yzau,True,"Minister of Tourism, Industry and Innovation in Iceland. Vice Chairman of the Independence party.",1094.0,2021-09-17 23:55:45,http://twitter.com/@thordiskolbrun
sunnago,Þórhildur Sunna,2013-11-25 15:24:36,2214243421.0,2173.0,1882.0,914.0,http://pbs.twimg.com/profile_images/1104779415404404738/ZmANytMG_normal.png,https://t.co/mNfLvvdU9g,False,"Þingmaður Pírata. 
Member of parliament for the Pirate Party Iceland.",538.0,2021-09-17 14:31:46,http://twitter.com/sunnago
